MASKED_XCC,SKU_NUMBER,SKU_RANK_NUMBER,HEALTH_SKU_NUMBER
14553533,311254,10,339873
35114970,733124,4,733124
4096607,577270,18,161049
12180026,407234,12,468080
39870391,208874,12,813576
37620015,407234,6,829850
3273152,156302,8,853023
38504835,180309,7,107631
52277455,966052,2,149928
40021011,237544,2,155912
30247917,208874,10,813576
16552740,335282,4,831100
5898520,752802,10,990372
26600691,205309,3,364109
5455625,968085,3,155912
13799979,369824,7,395852
53169959,890109,3,814854
4025555,343025,15,954448
21109256,547571,12,920467
26870179,298691,11,941569
35772914,823994,4,814854
19613867,414232,8,571067
26538675,384812,10,829850
22059820,162644,10,794901
17589914,501873,6,209144
2195088,214395,5,193322
26295811,692330,5,919685
50179363,895138,1,126623
3185715,389995,6,369415
745072,354043,11,399761
1978779,853023,6,100990
22302706,113676,17,369824
7110297,370317,18,941569
30306573,823994,3,814854
26133820,829850,14,247239
30398169,436962,10,477060
19669061,225517,10,329950
16155111,289017,8,737681
38764513,829850,9,813576
21515345,853023,18,556126
20063885,371271,3,371271
16651906,196006,2,352875
51858838,391983,11,251210
3925709,209243,5,283853
20045645,442958,8,237548
53540685,981752,10,25478
16297392,497582,10,407823
8005339,341442,11,705527
15859401,412190,18,364510
25314767,387240,2,468430
8969618,209759,6,264611
18594618,213638,8,254392
5270797,247239,18,378687
317007,230346,10,230346
21035247,341442,3,155912
25418349,395852,11,371012
39799494,211727,12,127425
13368514,974249,5,337509
53302608,378687,6,496617
30789198,204743,8,366424
16901446,852887,2,908255
11561697,327520,3,469799
52350220,241602,7,896727
5077272,348930,10,209144
40278654,535229,5,868452
21160206,407234,12,468080
14732516,453687,13,382906
14671680,471153,5,420364
25437682,856899,6,856899
21114622,237544,9,341012
11469558,516584,10,516584
5843498,395214,13,395214
39036415,317746,14,317746
783339,353920,10,440788
36547071,234585,13,364510
65005071,967716,17,829850
39390641,237544,3,237544
25089227,926302,14,862652
53074738,408076,7,407234
17818639,823994,15,823994
607837,230344,10,103604
37004555,341442,9,997124
44868835,208874,13,966052
23027131,282210,6,115585
16249507,789786,6,115585
37884528,319364,15,415979
8963346,857378,2,442316
20054598,247239,3,247239
11708928,208731,8,206713
4563055,264628,7,416261
23075754,950534,9,451440
13485744,887883,20,407829
21899303,857242,17,616780
65019468,894055,7,789786
1080734,255047,4,380036
20667117,566166,18,169905
4750093,337060,16,813576
90108447,398530,17,954573
19988748,954400,11,636263
33583347,339848,3,222718
3738009,343025,9,444724
32816405,414210,19,414210
50035101,809633,11,162222
1784488,242078,5,468080
31771356,918955,3,235502
21826295,214395,15,882206
5370927,212704,5,234585
50549078,656943,7,687340
23277457,184103,8,370317
3941987,516584,13,966052
16993345,378687,9,337060
40742076,862652,1,237544
425641,750720,14,566166
25474990,731309,11,209144
38984732,948075,15,590954
26723941,415979,20,961614
32523869,350307,8,909136
33879151,429026,5,983145
43535966,829850,10,209144
39159440,415290,5,463921
38551170,950534,15,829850
19351365,358923,3,697961
22767698,600684,1,177881
15996745,370317,10,298196
18427425,341442,6,140160
23746365,386987,4,386987
2489976,241026,9,384812
46233434,814854,17,341442
12684464,385631,4,100990
2097955,507400,4,230268
43110776,421159,13,932425
15455001,246317,7,556126
19223772,454376,7,239673
35232461,250787,6,833287
26050881,172465,7,862652
5534277,468080,15,283796
22424409,264628,2,264628
474017,451305,13,369824
38209738,713638,2,713638
6454257,995264,19,912174
425035,672043,17,364068
33486944,978328,6,689758
3181931,456218,7,798641
14742457,275175,2,110742
897478,413879,9,163093
26534358,211733,2,139222
18685886,341442,13,249561
46199261,341442,6,371948
28631557,497582,15,997124
870713,210004,2,300418
18120361,652776,12,956746
295872,997124,14,341442
67504866,966052,8,334474
45952373,939406,2,179939
26177647,733293,19,843222
5879744,200129,7,200129
21050647,261936,6,893900
38238526,378787,2,468230
42736425,281874,8,840371
39486332,817199,6,900001
21317091,377696,3,321671
48810365,878240,6,492631
2759012,966452,3,146160
20914917,230344,9,692270
2738762,365523,12,365523
27747532,371948,9,891705
7854541,281089,5,893120
50631193,966052,1,416156
48794590,257110,9,944357
21179906,319364,10,468080
10747553,243688,16,413879
27407094,115585,13,829850
39144197,369824,10,369824
35206363,364510,14,163093
468747,319833,12,365523
30424023,163915,5,743704
26394341,823994,1,456231
5240749,404060,10,381040
6812878,994269,6,995305
14358948,501873,10,369824
38628204,328442,13,314895
2068701,907750,3,249562
50624810,459128,8,813576
29784292,507400,1,276111
6896356,155912,6,974233
7362439,455407,12,369824
11332892,305081,12,208443
26669509,887883,11,963368
20145402,140160,14,846846
43853415,173146,19,173146
1244598,186973,11,853023
5136523,337060,15,337060
12867078,731309,11,731309
21950181,341442,7,369824
25159326,322436,3,322436
7430789,478722,3,526780
5065223,387401,6,387401
51833311,416156,7,369824
11861688,864380,1,154815
11681319,391347,2,473667
39617361,701793,15,971257
17344848,341210,4,341210
27062596,813576,5,337540
4092532,416512,14,337540
18281186,337540,8,482530
9980822,619892,6,544106
13453338,297584,18,187505
15332251,939510,10,446412
15895064,410647,16,349619
1034828,356085,10,344720
3279133,221070,5,601906
12990857,369824,19,491501
53111866,341442,5,164665
26000697,853023,16,414117
14888264,167445,7,948075
746023,337060,19,997124
1679346,444724,8,454376
20880371,460696,5,328032
38165651,971955,1,458063
9513031,185337,8,492451
18304488,868759,3,376956
19009068,247239,6,310108
43679209,251737,4,849404
27054672,724211,10,482530
22027318,278572,4,278572
16901400,281874,9,370317
9128620,482530,8,341442
10666835,789786,6,789786
26869080,275748,10,697961
20812965,966052,14,187896
32430618,966052,15,407234
53004150,468080,11,866992
20448998,445596,8,458289
2305081,893120,3,871796
22615861,884883,1,451200
52613800,484492,8,284575
34460808,411407,16,695080
7593148,507392,4,455407
32762359,414130,11,374111
45852328,154815,11,100990
23436953,164665,19,167445
27956634,720015,5,108354
4975438,966052,13,264628
22639643,264076,20,492372
1109166,707945,9,935130
24055146,249561,15,139699
27049302,297737,16,378687
52297689,726897,7,370317
986843,234585,15,829850
26039890,705527,6,416261
24993760,371948,7,380036
33128240,208874,6,459128
21900322,813576,10,883635
35569562,369824,8,416156
45000731,366588,5,132142
1539261,380036,14,433324
13976753,277802,8,750720
34632621,127226,4,917571
1544294,319833,13,343025
27098659,370317,12,319364
39861516,156278,14,267466
13602814,162222,9,242050
1686284,320994,1,247239
4082451,264628,17,317746
25547731,158648,6,813576
6907948,276116,3,415979
37538580,55517,8,236934
8013250,139699,18,541607
1517397,402067,4,360236
11847537,198644,5,238246
51247452,451440,7,453687
26511284,212272,6,401293
12361458,507035,12,278058
704793,334092,1,206805
26166190,248876,11,767076
1093314,829850,12,285954
19515263,966052,11,453687
3399015,405614,7,211733
45209207,734701,10,813576
29390411,269506,13,467058
53835741,339486,5,365523
31253873,378687,20,829850
31388636,230344,16,420700
